iter	Passed	Remaining
897	34305	87023
898	34351	87005
899	34390	86970
900	34430	86937
901	34474	86912
902	34510	86868
903	34553	86842
904	34587	86793
905	34625	86755
906	34666	86722
907	34704	86684
908	34744	86651
909	34785	86619
910	34825	86584
911	34859	86537
912	34897	86498
913	34936	86461
914	34974	86422
915	35011	86383
916	35056	86361
917	35102	86341
918	35143	86308
919	35180	86267
920	35229	86255
921	35281	86251
922	35319	86213
923	35358	86177
924	35401	86149
925	35444	86123
926	35479	86076
927	35532	86073
928	35567	86029
929	35610	86000
930	35642	85947
931	35675	85897
932	35730	85899
933	35770	85863
934	35809	85828
935	35842	85776
936	35881	85740
937	35931	85731
938	35973	85700
939	36019	85679
940	36050	85623
941	36086	85581
942	36126	85545
943	36160	85498
944	36197	85457
945	36234	85415
946	36267	85365
947	36305	85325
948	36346	85293
949	36382	85250
950	36420	85210
951	36457	85169
952	36496	85133
953	36536	85097
954	36573	85057
955	36605	85005
956	36640	84959
957	36677	84917
958	36729	84909
959	36765	84866
960	36804	84829
961	36838	84781
962	36888	84769
963	36927	84733
964	36961	84685
965	37010	84673
966	37048	84633
967	37081	84582
968	37118	84540
969	37160	84510
970	37196	84468
971	37238	84436
972	37279	84404
973	37327	84388
974	37367	84355
975	37415	84337
976	37456	84306
977	37499	84278
978	37544	84254
979	37586	84224
980	37630	84198
981	37668	84160
982	37711	84130
983	37752	84098
984	37784	84045
985	37818	83997
986	37854	83954
987	37889	83909
988	37926	83867
989	37964	83829
990	37999	83783
991	38035	83740
992	38078	83712
993	38118	83676
994	38156	83638
995	38191	83590
996	38230	83554
997	38280	83540
998	38313	83491
999	38348	83447
1000	38387	83410
1001	38427	83375
1002	38464	83333
1003	38512	83315
1004	38547	83270
1005	38585	83231
1006	38620	83184
1007	38655	83139
1008	38693	83100
1009	38726	83050
1010	38762	83008
1011	38798	82964
1012	38833	82918
1013	38869	82874
1014	38900	82821
1015	38936	82779
1016	38972	82734
1017	39010	82695
1018	39046	82653
1019	39080	82605
1020	39123	82576
1021	39159	82533
1022	39197	82493
1023	39233	82451
1024	39269	82409
1025	39299	82353
1026	39335	82308
1027	39372	82268
1028	39408	82225
1029	39444	82181
1030	39483	82145
1031	39519	82103
1032	39559	82067
1033	39596	82026
1034	39636	81992
1035	39668	81940
1036	39715	81919
1037	39755	81884
1038	39791	81843
1039	39829	81803
1040	39868	81766
1041	39905	81724
1042	39937	81674
1043	39972	81628
1044	40009	81587
1045	40043	81541
1046	40080	81500
1047	40112	81450
1048	40149	81408
1049	40186	81368
1050	40224	81328
1051	40263	81291
1052	40324	81300
1053	40362	81261
1054	40400	81223
1055	40442	81190
1056	40478	81147
1057	40516	81109
1058	40556	81073
1059	40595	81038
1060	40629	80990
1061	40665	80947
1062	40704	80910
1063	40741	80870
1064	40772	80817
1065	40808	80775
1066	40847	80736
1067	40888	80704
1068	40923	80659
1069	40958	80614
1070	40995	80574
1071	41034	80536
1072	41067	80489
1073	41103	80447
1074	41139	80403
1075	41170	80350
1076	41257	80408
1077	41291	80360
1078	41322	80309
1079	41367	80283
1080	41408	80251
1081	41448	80215
1082	41484	80172
1083	41522	80134
1084	41553	80081
1085	41588	80035
1086	41621	79988
1087	41658	79947
1088	41697	79910
1089	41733	79868
1090	41772	79831
1091	41814	79799
1092	41854	79764
1093	41894	79730
1094	41946	79717
1095	41987	79684
1096	42025	79645
1097	42064	79608
1098	42104	79574
1099	42144	79537
1100	42181	79497
1101	42219	79458
1102	42257	79419
1103	42289	79368
1104	42321	79318
1105	42362	79286
1106	42404	79254
1107	42448	79226
1108	42484	79185
1109	42522	79146
1110	42561	79109
1111	42600	79071
1112	42638	79031
1113	42674	78990
1114	42711	78949
1115	42752	78916
1116	42792	78879
1117	42828	78837
1118	42871	78808
1119	42906	78763
1120	42947	78730
1121	43004	78727
1122	43046	78695
1123	43085	78657
1124	43121	78616
1125	43157	78572
1126	43192	78528
1127	43227	78484
1128	43271	78455
1129	43309	78417
1130	43350	78383
1131	43402	78369
1132	43441	78333
1133	43481	78297
1134	43515	78251
1135	43553	78213
1136	43592	78174
1137	43628	78132
1138	43669	78099
1139	43706	78058
1140	43742	78016
1141	43776	77969
1142	43818	77937
1143	43857	77901
1144	43894	77860
1145	43933	77822
1146	43971	77784
1147	44004	77736
1148	44043	77698
1149	44078	77654
1150	44135	77649
1151	44174	77611
1152	44212	77573
1153	44249	77532
1154	44289	77497
1155	44337	77476
1156	44376	77439
1157	44417	77405
1158	44455	77364
1159	44494	77327
1160	44530	77286
1161	44562	77236
1162	44600	77197
1163	44634	77151
1164	44673	77113
1165	44710	77073
1166	44749	77036
1167	44787	76997
1168	44826	76959
1169	44865	76923
1170	44902	76881
1171	44938	76840
1172	44990	76824
1173	45023	76777
1174	45061	76739
1175	45103	76706
1176	45142	76669
1177	45177	76624
1178	45214	76584
1179	45250	76542
1180	45291	76508
1181	45328	76467
1182	45368	76432
1183	45408	76397
1184	45456	76374
