product_rating,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,badge_amazons,badge_best_seller,badge_ends_in,badge_limited_time_deal,badge_no_badge,badge_save_xpct,log_purchased_last_month,log_original_price,log_total_reviews,"cat_Audio, Sound & Recording Gear",cat_Cameras & Photography,"cat_Chargers, Adapters & Cables",cat_Computer Peripherals,cat_Laptops,cat_Mobile Cell Phones & Smartphones,cat_Networking,"cat_Office Supplies, Ink & Toner",cat_Other Electronics,cat_PC Components,cat_Power & Batteries,cat_Printers & Scanners (Hardware),cat_Small Gadget Accessories (Cases & Protectors),cat_Smart Home & Security,cat_Storage & Memory Cards,cat_TV & Video Displays,cat_Tablets & E-readers (DEVICES ONLY),cat_Video Game Consoles & Virtual Reality,cat_Wearables
4.4,0,1,0,0,0.1,0,1,0,0,0,0,10.308985993422082,3.5550623063795967,11.075102440753938,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,1,0,0.35,0,0,0,0,1,0,9.210440366976515,3.7133281345162463,9.757305042358048,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.4,0,1,0,0,0.18,0,1,0,0,0,0,9.210440366976515,4.795542580971757,8.866722667194098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.7,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,3.5550623063795967,11.41048291014307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.9,0,1,1,0,0.33,0,1,0,0,0,0,9.90353755128617,4.5107496103686,9.32500744695431,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.06,0,0,0,0,1,0,9.210440366976515,3.241810796150697,10.852516492998056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.6,0,1,1,0,0.14,0,0,0,0,1,0,9.210440366976515,4.262539022051294,9.947695807200448,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.12,0,0,0,0,1,0,9.90353755128617,3.7133281345162463,9.84225024306494,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.2,0,1,0,0,0.24,0,0,0,0,1,0,9.210440366976515,5.525413097700675,8.07402621612406,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.7,0,1,1,0,0.13,0,0,0,0,1,0,10.308985993422082,3.6011405398059297,11.451677523930725,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.17,0,1,0,0,0,0,9.210440366976515,4.18950321539533,10.130822308468806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.552718325985667,7.077498053569231,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,8.699681400989514,6.310190968315922,7.620705086838262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.5,0,0,0,0,0.0,0,1,0,0,0,0,9.210440366976515,4.499809670330265,10.484221628517084,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.7,0,1,0,0,0.13,0,0,0,0,1,0,10.308985993422082,2.554899021608035,10.508732049920162,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4.9,0,1,0,0,0.42,0,0,0,0,1,0,9.90353755128617,3.790758917935107,10.24998083886772,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.1,0,1,0,0,0.25,0,0,0,0,1,0,9.105090961257083,5.081093757744817,9.0641578617981,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.5,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,3.0814511489565284,11.612381583933727,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.7,0,1,0,0,0.27,0,1,0,0,0,0,9.210440366976515,4.709440107163888,10.486484989595086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.8,0,1,0,0,0.5,0,0,0,0,1,0,10.59665973278358,2.301584592660462,10.064542911536916,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,0,1,0,0,0,0,9.210440366976515,3.251536607107749,10.445579258176116,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.2,1,1,0,0,0.27,0,0,0,0,1,0,5.303304908059076,3.5260663637080247,5.043425116919247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.7,0,1,0,0,0.13,0,0,0,0,1,0,9.90353755128617,3.845669504878125,10.995628950073923,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,1,1,0,0,0.4,0,0,0,0,1,0,3.9318256327243257,3.931629535067065,7.444833273892193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.7,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,4.157162854614252,10.057838212366052,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.32,0,0,0,0,1,0,9.210440366976515,5.181727368938661,8.698013622083925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.7,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.232511029605105,10.714773261113114,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.5,0,1,1,0,0.0,0,1,0,0,0,0,9.90353755128617,3.331847303527362,12.378259687843531,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.583844399273339,9.845328638362597,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
