product_title,product_rating,log_total_reviews,log_purchased_last_month,is_sponsored,buy_box_availability,has_coupon,discount_percentage,product_category,brand_cat,is_high_end,spec_ram_gb,spec_storage_gb,spec_screen_inch,spec_power_w,spec_pack_count,spec_resolution_cat,spec_refresh_rate_hz,spec_ram_speed_mhz,log_original_price,is_best_seller,lsa_0,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14
"Avery Print/Write Self-Adhesive Removable Labels, 0.75 Inch Diameter, Dark Blue, 1,008 per Pack (5469)",4.7,5.720311776607412,5.303304908059076,Organic,1,0,0.0,"Office Supplies, Ink & Toner",AVERY,0,,,0.75,,,,,,2.190535589185423,No Badge,0.030687158243354617,-0.030993757684754337,-0.021841793354524238,0.042775249514057846,-0.016807409716471936,0.06427463410247981,0.012088247248851405,0.022038233525517256,-0.00600916688423163,0.01102480184484594,0.03271049618719986,0.022228208934875655,0.02376007076631476,0.05908591916831102,-0.008811785224042197
"Canon EF 100mm f/2.8L IS USM Macro Lens for Canon Digital SLR Cameras, Lens Only",4.8,7.0630481633881725,0.0,Organic,0,0,0.0,Cameras & Photography,CANON,0,,,,,,,,,6.907755278982137,No Badge,0.042865198999475836,-0.019173385282717254,-0.047472356595188815,0.12201977584362649,-0.03646334436712521,-0.017357646137182183,0.05676710279766491,0.17878406805788533,0.18641302000909044,-0.13496216454708548,-0.10259667526754444,0.03524473565055833,0.13104470540290453,0.05495274926183351,-0.026609649083271906
"ESR for AirPods 4 Case, Compatible with AirPods 4th Generation Case (2024) (USB-C), Compatible with MagSafe, Drop Protection Cover with Lanyard, Magnetic Lid Lock, Orbit Hybrid Series, Black",4.6,7.901377353792616,6.90875477931522,Sponsored,1,0,0.21,Small Gadget Accessories (Cases & Protectors),ESR,0,,,,,,,,,2.5641798306825083,Amazon's,0.09676979759166793,-0.07591559743694819,-0.0725686230485469,-0.033520747059498444,-0.04266950981977559,-0.04175564418304297,-0.046470969732576736,0.07801525285005803,0.05123129564871823,0.014480644764706169,-0.05308782882854407,0.04863353509190203,-0.010667290921644805,-0.08522954761752738,-0.02597277620219503
"ASUS Vivobook Ultrathin Go Laptop 2024Newest, 14'' FHD Display, Dual-Core Intel Celeron N4500 (Upto 2.80GHz), 4GB RAM, 128GB (64GB eMMC+64GB SD), Webcam, Long Battery, Windows 11S +MarxsolAccessory",2.7,2.772588722239781,0.0,Sponsored,1,0,0.0,Laptops,ASUS,0,4.0,64.0,,,,FHD_1080p,,,5.438079308923196,No Badge,0.07402813433400565,-0.12820502071885928,0.17836505963163285,0.023591468091953078,-0.009681953379153025,0.048834532641560305,-0.05348974496794547,0.025422742787508154,-0.00010023690144602551,-0.01467665159906757,0.016255115286185187,-0.04635399748436092,0.025859951351841694,-0.01339161357050707,-0.11021868373366314
"Mophie Snap+ 3-in-1 Wireless Charging Stand - MagSafe & Qi2 Certified, Compatible with iPhone 16/15/14/13/12, Apple Watch, AirPods - Multi-Device Magnetic Charging Station, Eco-Friendly Design, White",4.3,5.288267030694535,5.303304908059076,Organic,1,0,0.08,Small Gadget Accessories (Cases & Protectors),OTHER,0,,,,,,,,,4.874815570953721,No Badge,0.0906452524363675,-0.1406885014978829,-0.13663288962508233,-0.09513380676082196,-0.04519555136843703,-0.057274294943568616,-0.1276469228741643,0.02191387623237453,0.038607420697665165,-0.006220151140043756,-0.012072581721853425,0.04136883327129682,-0.0051204693041097815,0.02058353792560306,-0.06784867675561837
"MSI Thin A15 Gaming Laptop | 15.6"" FHD IPS 144Hz | AMD 6-Core Ryzen 5 7535HS | 16GB RAM 512GB SSD | GeForce RTX 4060 8GB GDDR6 | Backlit USB-C Wi-Fi 6E Win11 Pro w/DLCA Accessory",0.0,0.0,0.0,Sponsored,1,0,0.0,Laptops,MSI,1,16.0,512.0,15.6,,,FHD_1080p,144.0,,6.733401891837359,No Badge,0.11171482079389095,-0.16994033952953214,0.29483826454554474,0.009380830510341468,-0.03692223236799534,-0.004957682825215,-0.04584004409374816,-0.0002904799087841191,0.0003824458789499082,0.030098271600790257,-0.011049457470602968,-0.03242840159738061,-0.036742020428450275,0.008559256143255393,-0.044571848124462944
"Lenovo IdeaPad Slim 3 Chromebook - 14'' Full HD Touchscreen Laptop, 8-Core MediaTek Kompanio 520, 4GB RAM, 64GB eMMC & 256GB Micro SD Card, Wi-Fi 6, for Business Student, Chrome OS, W/Accessories",4.4,7.124478262493424,0.0,Sponsored,1,0,0.77,Laptops,LENOVO,1,4.0,64.0,,,,FHD_1080p,,,7.313880169386086,Save 77%,0.06612966127710808,-0.11282877995040008,0.15645960079598586,0.01468663275511885,-0.02060732742962527,0.019268785624923016,-0.003227218205322521,0.044384638143579895,-0.024243065465984426,-0.058252628610086794,0.015443877235631571,-0.05796665507648283,0.054341647262638806,-0.03190782985180834,-0.10876096745325135
"Shure SM58S Professional Vocal Microphone w/On/Off Switch (2 Pack), XLR",4.8,5.869296913133774,3.9318256327243257,Organic,1,0,0.0,"Audio, Sound & Recording Gear",SHURE,0,,,,,,,,,5.476463551931511,No Badge,0.04398603396102469,-0.04647850596347187,-0.05127846206687902,0.04132950187348979,0.020161538022850322,0.048035228654980694,-0.001422564455780931,-0.029528988898645442,0.0005311802233366611,-0.024361555339036858,-0.015727915952117703,0.008778614987476823,-0.009761986911186361,0.005180451497801552,0.04529308774762174
"SIRIUSXM SXWB1V1 SiriusXM Tour Dock & Play Radio with 360L, Vehicle Dock, and Bluetooth",4.1,5.820082930352362,5.303304908059076,Organic,0,0,0.0,"Audio, Sound & Recording Gear",OTHER,0,,,,,,,,,3.931629535067065,No Badge,0.025247888448563176,-0.03991712488974233,-0.0219165136056451,0.005117270523146112,0.044019458830027426,-0.011991782904242998,0.005451394375255393,-0.020484657676726754,-0.005784761322377818,-0.001473329137641896,0.023516410121670845,-0.04619322908583204,0.0024509206593595328,-0.0003438884757803258,0.019028424267140697
"acer Nitro V Gaming Laptop | AMD Ryzen 7 8845HS Octa-Core AI Capable Processor | NVIDIA GeForce RTX 4060 GPU | 16"" WUXGA IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | ANV16-41-R5J0",4.2,5.313205979041787,0.0,Organic,1,0,0.12,Laptops,ACER,1,16.0,1024.0,16.0,,,,165.0,,7.030848634344053,No Badge,0.0840837625380326,-0.15199634393709996,0.25575056649210237,0.01710002709759141,-0.030831713376600112,-0.005355112898569482,-0.04080996962601055,0.0037607961663892126,0.007221298368991724,0.031184285596643123,-0.028293080384808492,-0.024794664191504865,-0.06429059503204049,0.01888393810679656,0.028491759960283875
